x,y,z,Cluster,Synopsis,Severity
0.2892757951652299,0.9971543332256407,0.25935162996616706,5,the information contained herein is based on sources that we believe to bereliable but we do not represent that it is accurate or complete nothingcontained herein should be considered as an offer to sell or a solicitationof an offer to buy any financ,0.7759251057211295
0.5435407015451288,0.5138320509413323,0.06116507458257432,14,image vol no || october table of contents alumni news campus news v anderbilt in the news research at vanderbilt sports news alumni club happen ings alumni news alumni enjoy homecoming the rainy weather didn||t dampen the spirits of commodore alumni ,0.1426434777418759
0.5861192796420842,0.48551999479110486,0.3125634304995332,31,your point was well taken with regards to the current situation over there i hope you understand that my mind is always thinking in terms of how to make a trade out of a need i e swap to futures then its evolution to tas etc i had no prior knowledge ,0.3285999189468039
0.5153260113756517,0.44771520477389337,0.441664185148277,13,pick a restaurant for this make sure it has a private room original message from 	buckley karensent 	wednesday october pmto 	lavorato johnsubject 	fw restaurantsjohn interested in any of the below for your tt dinner thanks karen mark||s westheimer su,0.261817294584811
0.0027556249005469546,0.6717049031364128,0.9601573412826281,0,the report named ng propt p l published as of is now available for viewing on the website,0.8161112364597163
0.9859472111040177,0.5180086799731449,0.019319890981275845,2,current over dallas wash,0.003590948461239
0.5095833845961457,0.45181530117762525,0.4338882843519874,13,i||m at home let me know where you want me to meet you guys original message from arnold johnsent wed pmto ward kim s houston cc subject re did not but i went to my wine locker and picked out bottles for the weekend so i think we||re okay unless you|,0.4102004300512114
0.5675223337203024,0.44119467282546315,0.330284536637363,30,all thank you for your participation in the phone screen process as all the screens should be completed by tomorrow evening please let me know if you are having any difficulties i might assist you with please e mail karen or me with feedback as to wh,0.5834099182735399
0.5695026158984885,0.47520026087643663,0.2917135472668486,28,a dialogue with frost sullivan||s senior industry analyst energy markets industry analyst and program lead telecom and bandwidth servicesthursday november stesource is pleased to host our first analyst summit to share insights into the energy and tel,0.0527735960046835
0.5834946449275311,0.45333588128994984,0.3324365991990529,30,i just bought ene at i think its called ||opportunity||,0.4835886261726349
0.00257302607100543,0.6718767942799361,0.9604081975315866,0,the report named ng propt p l published as of is now available for viewing on the website,0.7344277835147992
